Time	DataPoints
133.25000	1.44252
133.50000	1.55646
133.75000	1.86429
134.00000	1.34169
134.25000	1.62412
134.50000	1.13915
134.75000	1.07438
135.00000	1.55572
135.25000	1.44899
135.50000	1.35884
135.75000	1.42303
136.00000	1.33819
136.25000	1.45282
136.50000	1.51549
136.75000	1.54004
137.00000	1.38714
137.25000	1.50052
137.50000	1.47412
137.75000	1.42371
138.00000	1.28226
138.25000	0.94061
138.50000	1.31950
138.75000	1.30846
139.00000	1.09900
139.25000	1.45387
139.50000	1.33351
139.75000	1.12602
140.00000	1.45528
140.25000	1.44148
140.50000	1.49708
140.75000	1.14380
141.00000	1.39774
141.25000	1.18927
141.50000	0.88344
141.75000	1.23467
142.00000	1.26531
142.25000	1.64059
142.50000	1.36257
142.75000	1.53069
143.00000	1.24834
143.25000	1.45127
143.50000	1.14632
143.75000	1.48350
144.00000	1.13338
144.25000	1.52186
144.50000	1.30653
144.75000	1.21699
145.00000	1.17049
145.25000	1.45482
145.50000	1.18771
145.75000	1.37028
146.00000	1.24870
146.25000	1.35491
146.50000	1.33397
146.75000	1.23809
147.00000	1.18344
147.25000	1.13837
147.50000	1.40323
147.75000	1.35936
148.00000	1.61325
148.25000	1.35931
148.50000	1.07395
148.75000	1.55604
149.00000	1.16759
149.25000	1.45055
149.50000	1.26773
149.75000	1.45537
150.00000	1.30900
150.25000	1.18450
150.50000	1.19290
150.75000	1.18993
151.00000	1.22028
151.25000	1.63677
151.50000	1.34458
151.75000	1.35135
152.00000	1.50828
152.25000	1.16341
152.50000	1.20001
152.75000	1.20828
153.00000	1.18293
153.25000	1.55591
153.50000	1.22340
153.75000	1.09863
154.00000	1.23482
154.25000	1.17322
154.50000	1.10180
154.75000	1.34332
155.00000	0.95963
155.25000	1.28331
155.50000	1.46665
155.75000	1.58723
156.00000	1.45266
156.25000	1.18011
156.50000	1.18520
156.75000	1.36260
157.00000	1.33432
157.25000	1.03615
157.50000	0.82887
157.75000	1.08374
158.00000	1.38708
158.25000	1.12098
158.50000	0.91254
158.75000	0.99392
159.00000	1.20478
159.25000	1.15985
159.50000	1.03687
159.75000	1.09418
160.00000	1.00425
160.25000	1.02232
160.50000	0.81482
160.75000	0.82223
161.00000	0.90244
161.25000	0.90657
161.50000	0.82509
161.75000	1.05617
162.00000	1.04369
162.25000	1.13113
162.50000	0.92833
162.75000	0.82445
163.00000	0.77509
163.25000	0.56561
163.50000	0.92681
163.75000	0.69398
164.00000	1.01739
164.25000	0.93980
164.50000	0.93991
164.75000	1.01058
165.00000	0.81419
165.25000	0.81164
165.50000	0.68398
165.75000	0.68757
166.00000	0.71846
166.25000	0.86006
166.50000	0.73240
166.75000	0.81595
167.00000	0.78768
167.25000	0.68959
167.50000	1.13405
167.75000	0.74865
168.00000	0.84209
